"","ScoringCrediticio","Edad","BalanceCuenta","CantidadProductos","SalarioEstimado","DejaBanco"
"58",622,26,0,2,124964.82,"0"
"59",775,27,152309.37,1,104112,"0"
"60",545,30,0,2,170307.43,"0"
"61",615,59,0,2,165576.55,"0"
"62",731,31,132512.26,1,185466.85,"0"
"63",798,32,0,2,37731.95,"0"
"64",777,36,0,1,106472.34,"0"
"65",721,37,0,2,70810.8,"0"
"66",674,34,152797.9,1,175709.4,"1"
"67",732,50,145338.76,1,91936.1,"1"
"68",625,49,173434.9,1,165580.93,"1"
"69",596,48,131326.47,1,1140.02,"1"
"70",652,46,121063.8,3,151481.86,"1"
"71",754,34,0,2,65219.85,"0"
"72",708,42,176702.36,2,104804.74,"0"
"73",556,26,0,1,195167.38,"0"
"74",657,40,0,2,52990.7,"0"
"75",585,56,138227.19,2,55287.84,"0"
"76",624,35,0,2,87310.59,"0"
"77",521,35,96423.84,1,10488.44,"0"
"78",483,29,0,1,81634.45,"0"
"79",605,41,0,2,97213.09,"0"
"80",684,18,90544,1,4777.23,"0"
"81",619,41,0,3,79866.73,"1"
"82",625,55,118772.71,4,135853.62,"1"
"83",549,55,137592.31,2,116548.02,"1"
"84",693,41,0,2,156381.47,"0"
"85",703,32,125685.79,1,56246.72,"0"
"86",592,42,147249.29,2,63023.02,"0"
"87",673,29,99097.36,1,9796.69,"0"
"88",668,59,120170.07,1,50454.8,"0"
"89",678,26,0,2,45443.68,"0"
"90",694,38,121527.4,1,113481.02,"0"
"91",568,27,126815.97,2,118648.12,"0"
"92",439,32,138901.61,1,75685.97,"0"
"93",739,58,110597.76,1,160122.66,"1"
"94",508,26,205962,1,156424.4,"0"
"95",578,38,113150.44,2,176712.59,"1"
"96",627,32,0,1,106851.7,"0"
"97",818,31,186796.37,1,178252.63,"0"
"98",684,41,119782.72,2,120284.67,"0"
"99",785,34,70302.48,1,68600.36,"0"
"100",583,36,0,2,5571.59,"0"
"101",639,35,103015.12,2,139094.12,"0"
"102",662,39,138106.75,1,19596.73,"0"
"103",850,71,0,2,107236.87,"0"
"104",606,34,161572.24,1,191076.22,"0"
"105",703,37,149762.08,1,20629.4,"1"
"106",577,25,0,2,124508.29,"0"
"107",811,44,0,2,78439.73,"0"
"108",562,38,0,1,115700.2,"0"
"109",608,31,79962.92,2,60901.72,"0"
"110",613,37,171653.17,NA,5353.12,"0"
"111",476,32,111871.93,1,112132.86,"0"
"112",687,29,93617.07,1,113050.92,"0"
"113",609,71,113317.1,1,108258.22,"1"
"114",618,31,0,2,29176.04,"0"
"115",649,42,0,2,22974.01,"0"
"116",597,28,142705.95,1,127233.39,"0"
"117",556,46,131764.96,1,108500.66,"1"
"118",593,38,129499.42,1,154071.27,"0"
"119",635,37,0,2,91086.73,"0"
"120",439,29,156569.43,1,180598.66,"0"
"121",782,53,81571.05,1,182960.46,"1"
"122",531,63,114715.71,1,24506.95,"1"
"123",475,40,160818.08,1,169642.13,"1"
"124",639,38,81550.94,2,118974.77,"0"
"125",747,37,135776.36,3,85470.45,"1"
"126",630,31,0,2,34475.14,"0"
"127",712,29,0,1,144375,"0"
"128",842,44,112652.08,2,126644.98,"0"
"129",579,37,0,2,32246.63,"0"
"130",744,29,0,1,82422.97,"0"
"131",643,39,0,2,170392.59,"0"
"132",843,27,0,2,67494.23,"0"
"133",637,49,108204.52,1,169037.84,"1"
"134",615,51,81818.49,1,169149.38,"0"
"135",562,51,122822,2,32626.21,"0"
"136",618,37,0,1,178705.45,"1"
"137",743,34,131736.88,1,108543.21,"0"
"138",814,36,0,2,98657.01,"0"
"139",622,30,107879.04,1,196894.62,"0"
"140",850,36,0,2,195033.07,"0"
"141",621,39,0,2,58883.91,"0"
"142",639,39,150555.83,1,30414.17,"0"
"143",756,36,136815.64,1,170041.95,"0"
"144",612,31,117989.76,1,54129.86,"0"
"145",713,25,121172.97,1,56268.98,"0"
"146",644,40,139180.97,1,19959.67,"0"
"147",520,63,162278.32,1,34765.33,"0"
"148",754,50,146777.44,2,150685.52,"0"
"149",563,46,106171.68,1,163145.5,"1"
"150",618,49,44301.43,3,89729.3,"1"
"151",690,32,76087.98,1,151822.66,"0"
"152",738,43,121152.05,2,64166.7,"1"
"153",670,31,0,1,76254.83,"0"
"154",542,34,101116.06,1,196395.05,"0"
"155",648,37,131753.41,1,86894.67,"0"
"156",577,35,0,2,25161.61,"0"
"157",770,31,155047.56,2,186064.34,"0"
"158",584,35,114321.28,2,15959.01,"0"
"159",572,36,68348.18,2,50400.32,"0"
"160",768,30,NA,2,199454.37,"0"
"161",729,44,0,2,9200.54,"0"
"162",614,19,97445.49,2,122823.34,"0"
"163",597,29,0,2,174825.57,"0"
"164",570,29,0,1,37092.43,"0"
"165",528,31,120962.59,1,5419.31,"0"
"166",705,48,156848.13,2,99475.95,"1"
"167",667,36,121542.57,2,186841.71,"0"
"168",715,31,112212.14,2,181600.72,"0"
"169",572,35,139979.07,1,185662.84,"0"
"170",584,39,112687.69,1,127749.61,"0"
"171",685,23,164902.43,1,141152.28,"0"
"172",482,45,156353.46,1,72643.95,"1"
"173",584,48,213146.2,1,75161.25,"1"
"174",680,48,115115.38,1,139558.6,"1"
"175",584,26,146286.22,1,105105.35,"0"
"176",750,36,0,2,59816.41,"0"
"177",682,37,0,2,112554.68,"0"
"178",675,32,197436.82,1,52710.7,"0"
"179",750,35,0,1,191520.5,"0"
"180",619,31,56116.3,2,2181.94,"0"
"181",679,48,0,2,23344.94,"0"
"182",621,59,0,2,171364.18,"0"
"183",582,43,153313.67,1,170563.73,"0"
"184",456,32,147506.25,1,135399.21,"0"
"185",614,30,131344.52,2,54776.64,"0"
"186",782,32,0,1,NA,"0"
"187",724,34,118235.7,2,157137.23,"0"
"188",742,33,0,2,38550.4,"0"
"189",597,19,0,2,91036.74,"0"
"190",717,22,112465.06,1,92977.75,"0"
"191",729,42,0,2,58268.2,"1"
"192",594,49,126615.94,2,123214.74,"0"
"193",697,39,151553.19,1,44946.29,"0"
"194",803,31,157120.86,2,141300.53,"0"
"195",647,33,168560.46,2,90270.16,"0"
"196",485,41,100254.76,2,12706.67,"0"
"197",709,34,148375.19,2,21521.38,"0"
"198",849,49,132934.89,1,171056.65,"1"
"199",690,36,110480.48,1,81292.33,"0"
"200",630,29,131354.39,1,9324.31,"1"
"201",567,43,115643.58,2,174606.35,"0"
"202",712,43,141749.74,2,90905.26,"0"
"203",586,60,47020.65,2,63241.21,"1"
"204",688,46,155681.72,1,26287.21,"0"
"205",543,41,143350.41,1,192070.16,"1"
"206",583,33,122531.86,1,13549.24,"0"
"207",568,43,87612.64,4,107155.4,"1"
"208",512,40,0,2,146457.83,"0"
"209",651,34,148962.46,1,66389.43,"1"
"210",795,35,0,2,167155.36,"0"
"211",626,26,0,2,191420.71,"0"
"212",694,31,141989.27,2,26116.82,"0"
"213",703,28,81173.83,2,162812.16,"0"
"214",639,50,115335.32,2,53130.41,"0"
"215",663,31,103430.11,2,36479.27,"0"
"216",601,37,0,1,20708.6,"0"
"217",415,32,145807.59,1,3064.65,"0"
"218",755,42,119919.12,1,156868.21,"0"
"219",622,38,0,2,105295.77,"0"
"220",781,32,147107.91,1,40066.95,"0"
"221",624,45,68639.57,1,168002.31,"1"
"222",794,55,115796.7,1,160526.36,"1"
"223",423,36,97665.61,1,118372.55,"1"
"224",494,35,112727.06,2,183752.91,"0"
"225",595,35,0,1,100015.79,"1"
"226",587,35,121863.61,1,23481.69,"1"
"227",408,84,87873.39,1,188484.52,"1"
"228",850,33,73059.38,1,186281,"0"
"229",638,46,139859.54,1,38967.29,"0"
"230",651,32,144581.96,1,87609.5,"0"
"231",612,62,140745.33,1,193437.89,"1"
"232",751,34,108513.25,2,27097.82,"0"
"233",790,50,121438.58,1,176471.78,"1"
"234",543,49,59532.18,1,104253.56,"0"
"235",714,25,0,1,132979.43,"0"
"236",568,26,0,2,166495.2,"0"
"237",613,37,108286.5,1,114153.44,"0"
"238",552,50,121175.56,1,117505.07,"1"
"239",745,35,92566.53,2,161519.77,"0"
"240",777,35,0,2,17257.72,"0"
"241",568,43,0,1,125870.79,"1"
"242",622,41,127087.06,1,102402.91,"1"
"243",683,24,98567.1,1,187987.01,"0"
"244",691,29,116536.43,1,51987.99,"0"
"245",518,28,85146.36,1,2803.89,"0"
"246",696,22,149777,1,198032.93,"0"
"247",791,52,0,1,122782.5,"0"
"248",474,30,0,2,63158.22,"0"
"249",568,31,61592.14,2,61796.64,"0"
"250",622,58,0,2,33277.31,"0"
"251",684,29,127269.75,1,79495.01,"0"
"252",850,40,99816.46,1,163989.66,"1"
"253",661,35,150725.53,2,113656.85,"0"
"254",686,41,129553.76,2,187599.8,"0"
"255",850,39,0,2,143030.09,"0"
"256",628,39,115341.19,1,107674.3,"1"
"257",704,39,102556.18,2,171971.25,"1"
"258",571,35,104783.81,2,178512.52,"0"
"259",639,41,98635.77,1,199970.74,"0"
"260",764,24,0,2,186105.99,"0"
"261",607,31,0,2,43196.5,"0"
"262",530,22,0,2,104170.48,"0"
"263",797,37,75263.7,1,85801.77,"0"
"264",541,32,0,2,40889.14,"0"
"265",640,36,0,1,173016.46,"0"
"266",577,26,180530.51,1,123454.62,"0"
"267",561,29,120268.13,1,173870.39,"0"
"268",512,39,0,1,134878.19,"0"
"269",485,32,102238.01,2,194010.12,"0"
"270",664,41,123428.69,1,164924.11,"0"
"271",523,41,119276.31,1,122284.38,"1"
"272",580,39,128362.59,1,86044.98,"0"
"273",824,49,133231.48,1,67885.37,"0"
"274",798,60,96956.1,1,31907.44,"1"
"275",644,26,153455.72,2,82696.84,"0"
"276",817,45,101207.75,1,88211.12,"1"
"277",726,29,0,2,91844.14,"1"
"278",663,28,61274.7,2,136054.45,"0"
"279",688,40,150679.71,2,196226.38,"0"
"280",602,32,184715.86,2,113781.99,"0"
"281",728,45,108924.33,2,84300.4,"1"
"282",757,30,161378.02,1,71926.28,"1"
"283",670,33,88294.6,1,66979.06,"0"
"284",595,23,0,2,168085.97,"0"
"285",850,39,96863.13,1,121681.19,"0"
"286",642,56,103244.86,2,143049.72,"1"
"287",516,35,57369.61,1,101699.77,"0"
"288",565,49,0,2,89609.26,"0"
"289",373,42,0,1,77786.37,"1"
"290",763,31,0,2,50404.72,"0"
"291",485,27,0,2,141449.86,"0"
"292",530,37,0,2,164844.37,"0"
"293",557,46,96173.17,2,116378.31,"0"
"294",578,30,169462.09,1,112187.11,"0"
"295",685,38,111798.06,2,102184.66,"0"
"296",653,31,154741.45,2,25183.01,"0"
"297",513,34,60515.13,1,124571.09,"0"
"298",650,39,0,2,186275.7,"0"
"299",611,58,0,2,107665.68,"1"
"300",624,33,66220.17,1,170819.01,"0"
"301",413,35,0,2,60972.84,"0"
"302",615,30,0,1,87347.82,"0"
"303",583,27,0,2,51285.49,"0"
"304",602,23,113758.48,2,84077.6,"0"
"305",727,52,154733.97,1,80259.67,"1"
"306",541,46,124547.13,2,94499.06,"0"
"307",542,43,113567.94,1,89543.25,"0"
"308",733,22,0,2,117202.19,"0"
"309",850,57,126776.3,2,132298.49,"0"
"310",735,21,178718.19,2,22388,"0"
"311",670,31,142631.54,2,175894.24,"0"
"312",640,26,90402.77,1,3298.65,"0"
"313",725,41,113980.21,1,116704.25,"0"
"314",705,49,0,1,63405.2,"1"
"315",760,33,118114.28,2,156660.21,"0"
"316",562,37,0,1,52525.15,"1"
"317",480,40,148790.61,1,79329.7,"0"
"318",806,40,80613.93,1,142838.64,"0"
"319",753,30,110824.52,1,57896.27,"0"
"320",705,23,0,2,73131.73,"0"
"321",563,36,143680.47,2,63531.19,"0"
"322",731,33,137388.01,2,165000.68,"0"
"323",657,30,139762.13,2,23317.88,"0"
"324",661,31,144162.3,2,14490.79,"0"
"325",760,34,58003.41,1,90346.1,"0"
"326",735,43,98807.45,1,184570.04,"1"
"327",643,28,160858.13,2,27149.27,"0"
"328",661,34,0,2,185555.63,"0"
"329",656,47,0,2,197961.93,"0"
"330",792,50,146710.76,1,16528.4,"1"
"331",845,28,0,2,56185.98,"0"
"332",741,36,116993.43,2,168816.22,"0"
"333",769,38,0,2,104393.78,"0"
"334",527,29,27755.97,1,97468.44,"1"
"335",699,50,158633.61,1,193785.87,"0"
"336",726,31,114722.05,2,98178.57,"0"
"337",737,31,121192.22,2,74890.58,"0"
"338",410,50,102278.79,2,89822.48,"0"
"339",629,34,0,2,180595.02,"0"
"340",634,25,0,2,8227.91,"0"
"341",566,35,123042,1,66245.44,"1"
"342",625,41,97663.16,2,57128.78,"0"
"343",516,33,0,2,58685.59,"0"
"344",741,38,128015.83,1,58440.43,"0"
"345",718,32,169947.41,2,27979.16,"0"
"346",776,37,0,1,8065,"0"
"347",581,40,101016.53,1,7926.35,"1"
"348",679,30,0,2,157871.55,"0"
"349",746,24,0,1,94105,"0"
"350",567,48,0,1,55362.45,"0"
"351",736,26,84587.9,1,188037.76,"0"
"352",702,36,90560.48,2,174268.87,"0"
"353",698,38,130015.24,1,41595.3,"0"
"354",640,45,0,1,10908.33,"0"
"355",501,40,114655.58,1,126535.92,"0"
"356",652,74,0,2,937.15,"0"
"357",677,37,88363.03,1,117946.3,"0"
"358",783,40,0,2,109742.55,"0"
"359",575,40,139532.34,1,181294.39,"0"
"360",687,41,134318.21,2,198064.52,"0"
"361",597,60,78539.84,1,48502.88,"0"
"362",766,38,130933.74,1,2035.94,"0"
"363",722,35,163943.89,2,15068.18,"0"
"364",741,40,104784.23,1,135163.76,"1"
"365",586,57,0,2,6057.81,"0"
"366",570,50,129293.74,1,177805.44,"1"
"367",807,31,93460.47,2,172782.69,"0"
"368",678,49,0,2,102472.9,"0"
"369",432,45,110219.14,1,43046.7,"1"
"370",601,26,78892.23,1,23703.52,"0"
"371",608,30,85859.76,1,142730.27,"0"
"372",534,34,170600.78,1,5240.53,"0"
"373",567,49,134956.02,1,93953.84,"1"
"374",615,30,0,2,156346.84,"0"
"375",751,42,0,2,81442.6,"0"
"376",564,40,0,1,85455.62,"1"
"377",741,37,170840.08,2,109843.16,"0"
"378",680,37,124140.57,2,92826.35,"0"
"379",487,53,199689.49,1,24207.86,"1"
"380",627,62,143426.34,2,143104.3,"0"
"381",648,49,0,1,149946.43,"1"
"382",765,41,124182.21,1,100153.43,"0"
"383",628,38,0,2,48924.73,"0"
"384",594,29,130830.22,1,61048.53,"0"
"385",637,41,0,2,102515.42,"0"
"386",798,39,119787.76,1,164248.33,"0"
"387",551,37,0,2,50578.4,"0"
"388",691,27,160358.68,2,142367.72,"0"
"389",718,35,97560.16,1,53511.74,"0"
"390",850,39,0,2,103921.43,"0"
"391",703,29,0,2,50679.48,"0"
"392",850,37,137204.77,1,28865.59,"0"
"393",725,43,165896,2,130795.52,"0"
"394",829,36,81795.74,2,90106.94,"0"
"395",751,54,156367.6,2,116179.92,"0"
"396",520,31,108914.17,1,183572.39,"1"
"397",546,34,165363.31,2,25744.13,"1"
"398",560,24,116084.32,1,89734.7,"0"
"399",583,40,0,2,114093.73,"0"
"400",563,35,106250.72,1,39546.32,"0"
"401",706,48,104478.12,3,158248.71,"1"
"402",661,42,178820.91,1,29358.57,"1"
"403",771,41,108309,4,137510.41,"1"
"404",615,33,137657.25,2,171657.57,"0"
"405",492,39,124576.65,2,148584.61,"0"
"406",707,47,0,2,174303.29,"0"
"407",620,67,0,2,43486.73,"0"
"408",786,32,104336.43,2,59559.81,"0"
"409",774,46,0,2,34774.26,"0"
"410",660,38,0,2,146585.53,"0"
"411",613,59,91415.76,1,27965,"1"
"412",686,47,0,1,32080.69,"1"
"413",721,36,0,2,106977.8,"0"
"414",661,39,132628.98,1,38812.67,"0"
"415",525,33,131023.76,2,55072.93,"0"
"416",850,34,71379.53,2,154000.99,"0"
"417",631,55,99685.06,1,114474.98,"0"
"418",583,27,105907.42,2,195732.04,"0"
"419",558,40,161766.87,1,92378.54,"0"
"420",712,48,0,2,183235.33,"0"
"421",679,37,77373.87,2,174873.09,"0"
"422",630,26,129837.72,2,197001.15,"0"
"423",680,42,105722.69,1,90558.24,"1"
"424",786,39,0,2,100929.59,"0"
"425",684,60,116563.58,1,120257.7,"1"
"426",661,64,128751.65,2,189398.18,"1"
"427",492,51,117808.74,2,67311.12,"0"
"428",579,27,0,2,126838.7,"0"
"429",715,41,94267.9,1,152821.12,"1"
"430",583,40,112701.04,1,29213.63,"0"
"431",850,32,116968.91,1,175094.62,"0"
"432",697,56,110802.03,1,50230.31,"1"
"433",557,39,49572.73,1,115287.99,"1"
"434",710,28,0,1,48426.98,"0"
"435",648,31,0,2,5199.02,"0"
"436",614,38,116248.88,1,105140.92,"0"
"437",734,51,118537.47,1,116912.45,"0"
"438",624,35,180303.24,2,163587.9,"0"
"439",625,52,164978.01,1,67788.49,"0"
"440",637,32,0,2,197827.06,"0"
"441",662,41,90350.77,1,75884.65,"1"
"442",584,47,130538.77,1,92915.84,"0"
"443",479,35,138718.92,1,47251.79,"1"
"444",607,35,0,2,114190.3,"0"
"445",606,53,109330.06,1,75860.01,"0"
"446",560,66,0,1,15928.49,"0"
"447",710,22,0,3,107292.91,"0"
"448",627,38,106922.92,2,84270.09,"0"
"449",752,33,0,2,39570.78,"0"
"450",792,29,107601.79,1,18922.18,"1"
"451",661,41,28082.95,1,69586.27,"1"
"452",605,48,0,2,40062.99,"0"
"453",553,41,144974.55,1,19344.92,"0"
"454",655,35,82231.51,2,88798.02,"0"
"455",706,53,0,2,117939.17,"0"
"456",693,40,130661.96,1,101918.96,"0"
"457",602,42,0,2,169921.11,"1"
"458",525,36,114628.4,1,168290.06,"0"
"459",643,30,94443.77,1,165614.4,"0"
"460",587,41,85109.21,1,1557.82,"0"
"461",670,31,57530.06,1,181893.31,"1"
"462",514,38,112230.38,1,16717.11,"1"
"463",782,35,0,1,119565.34,"0"
"464",605,33,0,2,83700.66,"0"
"465",733,38,157658.36,1,19658.43,"0"
"466",494,38,174937.64,1,40084.32,"0"
"467",654,37,145610.07,2,186300.59,"0"
"468",616,66,135842.41,1,183840.51,"1"
"469",684,39,139723.9,1,120612.11,"0"
"470",566,44,0,2,66462.79,"0"
"471",673,44,133444.97,1,5708.19,"0"
"472",574,43,141349.43,1,100187.43,"0"
"473",678,60,117738.81,1,147489.76,"1"
"474",563,57,0,2,39297.48,"0"
"475",652,31,132862.59,1,158054.49,"0"
"476",730,38,38848.19,2,94003.11,"0"
"477",788,43,0,2,116111.51,"0"
"478",617,25,102585.88,2,115387.4,"0"
"479",548,33,0,1,31728.35,"0"
"480",794,22,114440.24,1,107753.07,"0"
"481",590,47,0,2,171774.5,"0"
"482",748,34,84009.47,1,137001.1,"0"
"483",695,46,0,2,137537.22,"0"
"484",829,28,132405.52,3,104889.2,"1"
"485",685,38,0,2,35884.91,"0"
"486",781,38,128345.69,2,63218.85,"0"
"487",698,27,0,2,111471.55,"0"
"488",646,39,121681.91,2,61793.47,"0"
"489",701,41,164046.1,1,49405.93,"0"
"490",594,40,152092.44,2,83508.93,"0"
"491",850,29,0,2,10672.54,"0"
"492",758,32,84378.9,1,75396.43,"0"
"493",662,44,0,2,175314.87,"0"
"494",619,41,142015.76,2,114323.66,"0"
"495",653,42,0,2,5768.32,"0"
"496",521,43,0,1,93180.09,"0"
"497",651,37,117791.06,2,75837.58,"0"
"498",773,41,0,1,28266.9,"1"
"499",748,44,112610.77,1,2048.55,"0"
"500",538,42,98548.62,2,94047.75,"0"
"501",593,44,0,1,128046.98,"0"
"502",504,42,131287.36,2,149697.78,"0"
"503",550,52,121016.23,1,41730.37,"1"
"504",748,40,0,2,132368.47,"0"
"505",568,29,129177.01,2,104617.99,"0"
"506",785,39,130147.98,1,163798.41,"1"
"507",730,39,140094.59,1,172450.04,"1"
"508",625,52,79468.96,1,84606.03,"0"
"509",705,56,143249.67,1,88428.41,"1"
"510",555,27,102000.17,1,116757,"0"
"511",645,40,131411.24,1,194656.11,"0"
"512",662,33,103471.52,1,162703,"0"
"513",598,60,0,1,197727.14,"1"
"514",662,39,139562.05,2,61636.22,"0"
"515",690,33,0,2,138017.68,"0"
"516",824,77,27517.15,2,2746.41,"0"
"517",639,35,0,1,164453.98,"0"
"518",489,31,139395.08,1,6120.84,"0"
"519",588,41,131341.46,2,7034.94,"0"
"520",757,44,123322.15,1,137136.29,"0"
"521",676,36,82729.49,1,113810.12,"0"
"522",573,47,154543.98,1,29586.73,"0"
"523",657,34,107136.6,1,153895.46,"0"
"524",510,52,191665.21,1,131312.56,"1"
"525",850,31,130089.56,2,4466.21,"0"
"526",619,45,0,2,113645.4,"0"
"527",570,36,0,2,92118.75,"0"
"528",614,43,140733.74,1,166588.76,"0"
"529",575,46,0,2,65998.26,"0"
"530",719,44,0,2,196582.19,"0"
"531",662,22,0,2,44377.65,"0"
"532",784,31,0,2,143204.41,"0"
"533",730,23,0,2,183284.53,"0"
"534",579,39,0,2,39891.84,"0"
"535",678,44,98009.13,2,31384.86,"0"
"536",453,28,139986.65,1,136846.75,"0"
"537",716,42,0,2,180800.42,"0"
"538",714,34,0,2,193040.32,"0"
"539",595,53,0,2,41371.68,"1"
"540",737,43,80090.93,1,39920,"1"
"541",698,33,135658.73,2,39755,"0"
"542",631,22,0,2,30781.77,"0"
"543",517,28,115062.61,1,179056.23,"0"
"544",668,46,0,3,89048.46,"1"
"545",742,33,181656.51,1,107667.91,"0"
"546",542,54,105770.14,1,140929.98,"1"
"547",492,39,0,2,71323.23,"0"
"548",597,26,149989.39,1,42330.58,"0"
"549",615,44,126104.98,2,110718.02,"0"
"550",682,47,134032.01,1,144290.97,"0"
"551",597,28,0,3,78707.97,"0"
"552",618,34,134954.53,1,151954.39,"0"
"553",480,28,0,2,48131.92,"0"
"554",616,29,149318.55,1,140746.13,"0"
"555",664,36,103502.22,1,146191.82,"0"
"556",653,38,119315.75,1,150468.35,"0"
"557",696,43,0,2,66406.37,"0"
"558",579,31,0,1,139048,"0"
"559",717,35,58469.37,2,172459.39,"0"
"560",569,41,120243.49,1,163150.03,"1"
"561",559,48,0,2,137961.41,"0"
"562",578,37,135650.88,1,199428.19,"0"
"563",411,NA,59697.17,2,53483.21,"0"
"564",589,36,140355.56,2,136329.96,"0"
"565",659,54,133436.52,1,56787.8,"0"
"566",535,29,0,2,52709.55,"0"
"567",679,40,0,1,16897.19,"0"
"568",679,33,0,2,98015.85,"0"
"569",600,29,0,2,34747.43,"0"
"570",579,43,145843.82,1,198402.37,"1"
"571",646,46,170826.55,2,45041.32,"0"
"572",630,55,0,1,106202.07,"1"
"573",469,33,127818.52,1,163477.22,"0"
"574",595,23,101126.66,2,37042.8,"0"
"575",717,31,129722.57,1,41176.6,"0"
"576",708,33,0,2,138613.21,"0"
"577",850,40,124788.18,1,65612.12,"0"
"578",699,40,122038.34,1,102085.35,"0"
"579",596,36,0,2,12067.39,"0"
"580",610,27,0,2,14546.76,"0"
"581",825,34,0,2,31933.06,"0"
"582",769,29,123757.52,2,84872.66,"0"
"583",601,46,99786.07,1,32683.88,"1"
"584",683,30,114779.35,1,183171.47,"0"
"585",652,42,83492.07,2,37914.12,"0"
"586",765,33,84557.82,1,69039.43,"0"
"587",769,60,148846.39,1,192831.67,"1"
"588",535,38,135919.33,1,80425.65,"0"
"589",734,22,130056.23,1,121894.31,"1"
"590",728,69,0,2,131804.86,"0"
"591",772,34,0,2,170980.86,"0"
"592",564,37,100252.18,1,146033.52,"0"
"593",799,39,167395.6,2,139537.43,"0"
"594",504,49,0,3,87822.14,"1"
"595",847,31,0,2,76326.67,"0"
"596",603,30,0,2,47536.46,"0"
"597",609,32,118520.41,1,3815.48,"0"
"598",543,22,0,2,127587.22,"0"
"599",622,40,99799.76,2,197372.13,"0"
"600",539,38,71460.67,2,10074.05,"0"
"601",603,31,0,2,169915.02,"0"
"602",850,47,0,1,187391.02,"1"
"603",836,29,133681.78,1,153747.73,"0"
"604",581,50,143829.2,2,181224.24,"1"
"605",578,36,157267.95,2,141533.19,"0"
"606",680,31,113292.17,1,122639.73,"0"
"607",620,41,0,2,88852.47,"0"
"608",624,23,0,2,196668.51,"0"
"609",733,33,187257.94,1,190430.81,"0"
"610",586,33,0,1,6975.02,"0"
"611",593,38,142658.04,2,135337.11,"0"
"612",543,41,0,1,194902.16,"0"
"613",632,32,111589.33,1,170382.99,"0"
"614",673,40,121629.22,1,3258.6,"0"
"615",731,26,0,2,37697.29,"0"
"616",688,32,124179.3,1,138759.15,"0"
"617",728,33,129907.63,1,36083.96,"0"
"618",487,45,0,2,77475.73,"0"
"619",570,23,0,1,198830.98,"0"
"620",704,33,0,2,73018.74,"0"
"621",590,51,84474.62,2,190937.09,"0"
"622",609,37,0,2,NA,"0"
"623",446,25,136202.78,1,176743.51,"0"
"624",522,41,0,2,176780.39,"0"
"625",640,31,138857.59,1,48640.77,"0"
"626",599,27,0,2,30546.4,"0"
"627",722,32,0,2,113666.48,"0"
"628",787,39,108935.39,1,101168.3,"0"
"629",598,41,91536.93,1,191468.78,"1"
"630",698,27,125427.37,2,27654.44,"0"
"631",676,37,89634.69,1,169583.18,"1"
"632",767,35,115576.44,1,27922.45,"0"
"633",533,43,80442.06,2,12537.42,"0"
"634",413,39,130969.77,2,158891.79,"0"
"635",610,37,140363.95,2,129563.86,"0"
